code,total_labor_equipment
1.1.1.1,127600.0
1.1.1.2,67225.0
1.1.1.3,82885.0
1.1.1.4,53000.0
1.1.1.5,10900.0
1.1.1.6,59635.0
1.1.2.1,500000.0
1.1.2.2,216250.0
1.1.2.3,707500.0
1.1.2.4,209000.0
1.1.2.5,789912.38
1.1.3.1,11000.0
1.1.3.10,87890.0
1.1.3.11,136350.0
1.1.3.12,198390.0
1.1.3.13,45090.0
1.1.3.14,71950.0
1.1.3.15,102990.0
1.1.3.16,161550.0
1.1.3.17,247200.0
1.1.3.2,3600.0
1.1.3.3,6000.0
1.1.3.4,20310.0
1.1.3.5,20190.0
1.1.3.6,44400.0
1.1.3.7,57000.0
1.1.3.8,44150.0
1.1.3.9,62110.00000000001
1.1.4.1,1418750.0
1.1.4.2,2865.0
1.1.4.3,1910.0
1.1.4.4,2865.0
1.1.4.5,0.0
1.1.4.6,0.0
1.2.1.1.1,82600.0
1.2.1.1.2,67560.0
1.2.1.1.3,48000.0
1.2.1.1.4,99000.0
1.2.1.1.5,81000.0
1.2.1.1.6,118400.0
1.2.1.1.7,91200.0
1.2.1.1.8,9000.0
1.2.1.2.1,119700.0
1.2.1.2.2,130660.0
1.2.1.2.3,145000.0
1.2.1.2.4,15900.0
1.2.2.1.1,79200.0
1.2.2.1.2,81600.0
1.2.2.1.3,110400.0
1.2.2.1.4,12000.0
1.2.2.2.1,41200.0
1.2.2.2.2,47200.0
1.2.2.2.3,53760.0
1.2.2.2.4,7960.0
1.2.3.1.1,137802.0
1.2.3.1.2,180000.0
1.2.3.1.3,198000.0
1.2.3.1.4,16800.0
1.2.3.2.1,210160.0
1.2.3.2.2,229100.0
1.2.3.2.3,253680.0
1.2.3.2.4,28300.0
1.2.4.1.1,165000.0
1.2.4.1.2,127500.0
1.2.4.1.3,162000.0
1.2.4.1.4,167040.0
1.2.4.1.5,180000.0
1.2.4.1.6,12000.0
1.2.4.2.1,172120.0
1.2.4.2.2,187670.0
1.2.4.2.3,208040.00000000003
1.2.4.2.4,21200.0
1.2.5.1.1,132000.0
1.2.5.1.2,99600.0
1.2.5.1.3,158400.0
1.2.5.1.4,120000.0
1.2.5.1.5,138000.0
1.2.5.1.6,18000.0
1.2.5.2.1,35300.0
1.2.5.2.2,58400.0
1.2.5.2.3,47100.0
1.2.5.2.4,5000.0
1.3.1.1,55000.0
1.3.1.2,33000.0
1.3.1.3,7800.0
1.3.1.4,12000.0
1.3.1.5,15000.0
1.3.1.6,33000.0
1.3.1.7,33000.0
1.3.2.1,55000.0
1.3.2.2,27600.0
1.3.3.1,22330.0
1.3.3.2,20090.0
1.3.3.3,5673.0
1.3.3.4,3115.0
1.3.3.5,53090.0
1.3.3.6,64090.0
1.4.1.1,23140.0
1.4.1.10,120300.00000000001
1.4.1.11,151530.0
1.4.1.12,30240.000000000004
1.4.1.2,24780.0
1.4.1.3,27230.0
1.4.1.4,27550.0
1.4.1.5,29940.0
1.4.1.6,37840.0
1.4.1.7,53270.0
1.4.1.8,71630.0
1.4.1.9,93210.0
1.4.2.1,130856.0
1.4.2.2,144325.0
1.4.2.3,157800.75
1.4.2.4,171269.75
1.4.2.5,145707.55
1.5.1,1837.5
1.5.2,741.0
1.5.3,2464.0
1.5.4,880.8999999999999
1.5.5,3850.0
1.5.6,1140.2
1.5.7,1581.873
1.5.8,1960.3999999999999
1.6.1,132885.0
1.6.10,1689235.05
1.6.11,1536417.2
1.6.12,15637.6
1.6.13,31278.4
1.6.2,136450.0
1.6.3,131900.0
1.6.4,398800.0
1.6.5,139000.0
1.6.6,159000.0
1.6.7,36305.0
1.6.8,23250.0
1.6.9,12640.0
10.1.1,571549.5625
10.1.2,503560.5625
10.1.3,276209.5625
10.1.4,11580.0
10.1.5,11580.0
10.1.6,11580.0
10.1.7,0.0
10.1.8,0.0
10.1.9,0.0
10.2.1,138300.0
10.2.2,0.0
10.3.1,1133000.0
10.3.2,1205000.0
2.1.1.1,197405.0
2.1.1.2,204658.0
2.1.1.3,8791.0
2.1.1.4,2992.0
2.1.2.1,2430000.0
2.1.2.2,4070250.0
2.1.2.3,1458000.0
2.1.2.4,26910.0
2.1.2.5,26910.0
2.1.2.6,32300.0
2.2.1.1.1,1977.5
2.2.1.1.1a,1977.5
2.2.1.1.2,491.0
2.2.1.1.2a,513.0
2.2.1.1.3,452.0
2.2.1.1.3a,452.0
2.2.1.1.4,66452.0
2.2.1.1.4a,66540.0
2.2.1.1.5,706.25
2.2.1.1.6,189.5
2.2.1.1.7,53.7
2.2.1.1.8,25.2
2.2.1.1.9,1158.725
2.2.1.10.1,28150.0
2.2.1.10.2,46405.0
2.2.1.11.1,130336.0
2.2.1.11.2,21167.09
2.2.1.2.1,11075.0
2.2.1.2.2,12975.000000000002
2.2.1.2.3,16100.0
2.2.1.3.1,96050.0
2.2.1.3.10,7200.0
2.2.1.3.2,96050.0
2.2.1.3.3,121825.0
2.2.1.3.4,121825.0
2.2.1.3.5,121825.0
2.2.1.3.6,121825.0
2.2.1.3.7,121825.0
2.2.1.3.8,23525.0
2.2.1.3.9,4800.0
2.2.1.4.1,211575.0
2.2.1.4.2,211575.0
2.2.1.4.3,211575.0
2.2.1.4.4,211575.0
2.2.1.4.5,211575.0
2.2.1.4.6,211575.0
2.2.1.5.1,204875.0
2.2.1.5.10,204875.0
2.2.1.5.11,204875.0
2.2.1.5.2,204875.0
2.2.1.5.3,204875.0
2.2.1.5.4,204875.0
2.2.1.5.5,204875.0
2.2.1.5.6,204875.0
2.2.1.5.7,204875.0
2.2.1.5.8,204875.0
2.2.1.5.9,204875.0
2.2.1.6.1,64250.0
2.2.1.7.1,60450.00000000001
2.2.1.7.2,128799.99999999999
2.2.1.7.3,856800.0000000001
2.2.1.7.4,770400.0
2.2.1.7.5,672000.0
2.2.1.7.6,659200.0
2.2.1.8.1,24000.0
2.2.1.8.2,73600.0
2.2.1.9.1,880.0
2.2.1.9.2,2200.0
2.2.1.9.3,2200.0
2.2.2.1.1,143975.0
2.2.2.1.10,252500.0
2.2.2.1.2,252500.0
2.2.2.1.3,205790.0
2.2.2.1.4,252500.0
2.2.2.1.5,205790.0
2.2.2.1.6,252500.0
2.2.2.1.7,205790.0
2.2.2.1.8,252500.0
2.2.2.1.9,205790.0
2.2.2.2.1,194902.0
2.2.2.2.11,205790.0
2.2.2.2.2,187945.0
2.2.2.2.3,164551.0
2.2.2.2.4,200168.0
2.2.2.2.5,171713.5
2.2.2.2.6,387980.0
2.2.2.3.1,16266.5
2.2.2.3.10,88031.5
2.2.2.3.11,393048.0
2.2.2.3.12,589706.0
2.2.2.3.13,92616.0
2.2.2.3.14,152431.0
2.2.2.3.15,1016648.5
2.2.2.3.16,1524931.0
2.2.2.3.17,185021.86
2.2.2.3.18,203424.97999999998
2.2.2.3.19,222209.05
2.2.2.3.2,18016.5
2.2.2.3.20,276347.75
2.2.2.3.3,119882.0
2.2.2.3.4,180016.5
2.2.2.3.5,19239.0
2.2.2.3.6,44700.0
2.2.2.3.7,270000.0
2.2.2.3.8,404930.5
2.2.2.3.9,42120.0
2.2.2.4.1,42632.0
2.2.2.4.10,47227.5
2.2.2.4.11,47973.5
2.2.2.4.12,56577.5
2.2.2.4.13,62565.5
2.2.2.4.14,63401.0
2.2.2.4.15,64694.0
2.2.2.4.16,5387.3125
2.2.2.4.17,3803.375
2.2.2.4.18,3217.5
2.2.2.4.19,2581.9999999999995
2.2.2.4.2,46740.0
2.2.2.4.3,44691.0
2.2.2.4.4,50868.0
2.2.2.4.5,54608.0
2.2.2.4.6,55553.0
2.2.2.4.7,61322.0
2.2.2.4.8,67310.0
2.2.2.4.9,68076.0
2.2.2.5.1,57367.6
2.2.2.5.2,72801.2
2.2.2.5.3,94934.4
2.2.2.5.4,102374.0
2.2.2.5.5,126123.4
2.2.2.5.6,136788.4
2.3.1.1,9588.125
2.3.1.2,10353.875
2.3.1.3,10330.5
2.3.1.4,9371.5625
2.3.1.5,9371.5625
2.3.1.6,7714.5
2.4.1.1,13720.0
2.4.1.2,6810.0
2.4.1.3,6810.0
2.4.1.4,39640.0
2.4.2.1,8460.0
2.4.2.2,13975.0
2.4.2.3,11130.0
2.4.3.1,68490.0
2.4.3.2,70875.0
2.4.3.3,62650.0
2.4.4.1,71790.1
2.4.4.2,71790.1
2.4.4.3,71790.1
2.4.5.1,283579.30000000005
2.4.5.2,257972.23333333334
2.4.5.3,283289.63333333336
2.4.5.4,257972.23333333334
2.4.5.5,351581.3666666667
2.4.5.6,71165.0
2.4.5.7,71690.0
2.4.6.1,16940.0
2.4.6.2,21285.0
2.4.6.3,25310.0
2.4.6.4,31645.0
2.5.1,66767.6
2.6.2.1,30997.5
2.6.2.2,152185.5
2.6.2.3,20670.0
2.7.1,1200.0
2.7.10,106022.5
2.7.11,163548.0
2.7.12,163548.0
2.7.13,60600.0
2.7.14,60600.0
2.7.15,118105.5
2.7.16,118105.5
2.7.2,1200.0
2.7.3,18000.0
2.7.4,57375.0
2.7.5,131266.5
2.7.6,131266.5
2.7.7,200192.0
2.7.8,200192.0
2.7.9,106022.5
3.1.1.1,27687.5
3.1.1.2,27687.5
3.1.1.3,27687.5
3.1.1.4,36910.0
3.1.1.5,73840.0
3.1.1.6,73840.0
3.1.1.7,73840.0
3.1.1.8,73840.0
3.1.2.1,26687.5
3.1.2.10,25835.000000000004
3.1.2.11,25835.000000000004
3.1.2.12,25835.000000000004
3.1.2.13,25835.000000000004
3.1.2.14,25835.000000000004
3.1.2.15,29552.5
3.1.2.16,29552.5
3.1.2.17,29552.5
3.1.2.18,29552.5
3.1.2.19,29552.5
3.1.2.2,26687.5
3.1.2.20,29552.5
3.1.2.21,29552.5
3.1.2.22,29552.5
3.1.2.23,29552.5
3.1.2.3,25835.000000000004
3.1.2.4,25835.000000000004
3.1.2.5,25835.000000000004
3.1.2.6,25835.000000000004
3.1.2.7,25835.000000000004
3.1.2.8,25835.000000000004
3.1.2.9,25835.000000000004
3.1.3.1,22150.0
3.1.3.10,26835.0
3.1.3.11,179160.0
3.1.3.12,54785.0
3.1.3.13,54785.0
3.1.3.14,50375.0
3.1.3.2,141875.0
3.1.3.3,58885.0
3.1.3.4,25327.5
3.1.3.5,36910.0
3.1.3.6,70750.0
3.1.3.7,24614.0
3.1.3.8,14760.0
3.1.3.9.1,46850.0
3.10.1.1,123046.0
3.10.1.2,167750.0
3.10.1.3,92225.0
3.10.1.4,73900.0
3.10.2.1,184590.0
3.10.2.2,166125.0
3.10.2.3,73900.0
3.10.2.4,184590.0
3.10.2.5,166125.0
3.10.2.6,73900.0
3.10.3.1,184590.0
3.10.3.2,166125.0
3.10.3.3,46152.5
3.10.4.1,184650.0
3.10.4.2,129275.0
3.10.4.3,129275.0
3.10.5.1,64725.0
3.10.5.2,91125.0
3.10.5.3,364500.0
3.10.5.4,37875.0
3.10.5.5,18525.0
3.10.5.6,284650.0
3.10.5.7,284650.0
3.10.6.1,33700.0
3.10.6.2,86125.0
3.10.6.3,37505.0
3.11.1.1,24822.4375
3.11.1.10,607500.0
3.11.1.11,607500.0
3.11.1.12,425250.0
3.11.1.13,478000.0
3.11.1.14,738340.0
3.11.1.15,282625.0
3.11.1.16,423937.5
3.11.1.17,607500.0
3.11.1.18,45016.5
3.11.1.19,45016.5
3.11.1.2,18465.0
3.11.1.3,14700.0
3.11.1.4,23000.0
3.11.1.5,23000.0
3.11.1.6,23000.0
3.11.1.7,109867.0
3.11.1.8,212625.0
3.11.1.9,109867.0
3.11.2.1,53900.0
3.11.2.2,53900.0
3.11.2.3,71865.0
3.11.2.4,22335.0
3.11.3.1,11435.0
3.11.3.2,52753.0
3.11.3.3,52753.0
3.11.3.4,52753.0
3.11.3.5,52753.0
3.11.3.6,405340.0
3.11.3.7,15170.0
3.11.3.8,15170.0
3.11.4.1,107500.0
3.11.4.10,107500.0
3.11.4.11,94215.0
3.11.4.12,29902.0
3.11.4.13,60498.375
3.11.4.13.1,42724.0
3.11.4.14,35840.0
3.11.4.15,17910.0
3.11.4.16,43840.0
3.11.4.17,26875.0
3.11.4.18,26875.0
3.11.4.19,43385.0
3.11.4.2,85650.0
3.11.4.20,26875.0
3.11.4.21,40312.5
3.11.4.22,9720.0
3.11.4.3,85150.0
3.11.4.4,85150.0
3.11.4.5,26875.0
3.11.4.6,87660.0
3.11.4.7,89650.0
3.11.4.8,89650.0
3.11.4.9,17850.0
3.12.1,143340.0
3.12.10,32875.0
3.12.11,46200.0
3.12.12,60700.0
3.12.13,36910.0
3.12.14,60700.0
3.12.2,26875.0
3.12.3,26875.0
3.12.4,28660.0
3.12.5,30465.0
3.12.6,44785.0
3.12.7,26875.0
3.12.8,30465.0
3.12.9,26875.0
3.13.1,11567.5
3.13.2,11567.5
3.13.3,4389.25
3.13.4,84163.75
3.13.5,37066.25
3.13.6,184590.0
3.14.1,109867.0
3.14.2,109867.0
3.15.1,61557.5
3.16.1.1,369686.6666666667
3.16.1.2,691100.0
3.16.2,73840.0
3.16.2.1,26910.0
3.16.3,9690.0
3.16.4,12045.0
3.16.5,21638.25
3.16.6,13525.0
3.16.7,13525.0
3.18.1.1,184590.0
3.18.2.1,53750.0
3.18.2.2,89590.0
3.18.3.1,253000.0
3.18.3.2,134590.0
3.18.3.3,18465.0
3.18.4.1,269160.0
3.18.4.2,219160.0
3.18.5.1,1061250.0
3.18.5.2,1107500.0
3.18.5.3,238040.5
3.18.5.4,238085.0
3.18.5.5,1111250.0
3.18.5.6,134375.0
3.18.6.1,17910.0
3.18.6.2.1,68660.0
3.18.6.3,68660.0
3.18.6.4,17910.0
3.18.6.5,17910.0
3.18.6.6,17910.0
3.18.6.7,17910.0
3.18.6.8,17910.0
3.18.6.9,68660.0
3.2.1,14760.0
3.2.1.1,32300.0
3.2.2,23465.0
3.2.3,18465.0
3.3.1,53840.0
3.3.2,65750.0
3.3.3,43840.0
3.3.4,43840.0
3.3.5,43840.0
3.3.6,43840.0
3.4.1,13525.0
3.4.2,26910.0
3.4.3,26910.0
3.4.4,26910.0
3.5.1.2,32300.0
3.5.1.3,26910.0
3.5.1.4,134590.0
3.5.2.1,18465.0
3.5.2.2,14835.000000000002
3.5.2.3.1,26910.0
3.5.2.3.2,26910.0
3.5.2.3.3,26910.0
3.5.2.4,215340.0
3.5.2.5,6722.5
3.5.2.6,6722.5
3.5.2.7,26910.0
3.5.3.1,94215.0
3.5.3.2,65750.0
3.5.3.3,70750.0
3.6.1.1,73840.0
3.6.1.10,36910.0
3.6.1.2,73840.0
3.6.1.3,73840.0
3.6.1.4,73840.0
3.6.1.5,73840.0
3.6.1.6,36910.0
3.6.1.7,36910.0
3.6.1.8,36910.0
3.6.1.9,36910.0
3.6.2.1,30761.0
3.6.2.2,36910.0
3.6.2.3,30761.0
3.6.2.4,30761.0
3.6.2.5,30761.0
3.6.2.6,30761.0
3.6.3.1,36910.0
3.6.3.2,36910.0
3.6.3.3,55375.0
3.6.3.4,36910.0
3.6.3.5,36910.0
3.6.4.1,61622.0
3.6.4.1,61622.0
3.6.4.1.A,30761.0
3.6.4.1.B,30761.0
3.6.4.1.C,30761.0
3.6.4.1.D,30761.0
3.6.4.2,61622.0
3.6.4.2,61622.0
3.6.4.2A,30761.0
3.6.4.2B,30761.0
3.6.4.2C,30761.0
3.6.4.2D,30761.0
3.6.4.3,46152.5
3.6.5.1,33553.0
3.6.5.2,30761.0
3.6.6.1,36850.0
3.7.1,36910.0
3.7.10,48089.5
3.7.11,36850.0
3.7.12,36850.0
3.7.13,24640.0
3.7.14,29060.0
3.7.15,21850.0
3.7.16,26910.0
3.7.2,36910.0
3.7.3,36910.0
3.7.4,36910.0
3.7.5,36910.0
3.7.6,36910.0
3.7.7,30747.5
3.7.8,36910.0
3.7.9,46152.5
3.8.1,16500.0
3.8.10.1,17954.0
3.8.10.2,20708.0
3.8.11.1,13465.0
3.8.11.2,13465.0
3.8.12,15169.1
3.8.13,4852.5
3.8.14,53840.0
3.8.15,175340.0
3.8.16,35840.0
3.8.17,63062.5
3.8.18,67285.0
3.8.19,16150.0
3.8.2,16500.0
3.8.20.1,16835.0
3.8.20.2,16835.0
3.8.21,53840.0
3.8.22,223000.0
3.8.3,16500.0
3.8.4,8522.5
3.8.5,24762.5
3.8.6,14657.5
3.8.7,14150.0
3.8.8,11000.0
3.8.9,43060.0
3.9.1,24614.0
3.9.1.2,26365.5
3.9.1.3,28398.0
3.9.1.4,39091.0
3.9.1.5,10564.5
3.9.1.6,11531.0
3.9.1.7,12296.0
3.9.1.8,13186.5
3.9.2.1,24614.0
3.9.2.2,26365.5
3.9.2.3,28398.0
3.9.2.4,39091.0
3.9.2.5,10564.5
3.9.2.6,11531.0
3.9.2.7,12296.0
3.9.2.8,13186.5
3.9.3.1,26365.5
3.9.3.2,28398.0
3.9.3.3,66450.0
3.9.3.4,11531.0
3.9.3.5,12296.0
3.9.4.1,26365.5
3.9.4.10,11531.0
3.9.4.11,12296.0
3.9.4.12,13186.5
3.9.4.2,28398.0
3.9.4.3,39091.0
3.9.4.4,11531.0
3.9.4.5,12296.0
3.9.4.6,13186.5
3.9.4.7,26365.5
3.9.4.8,28398.0
3.9.4.9,39091.0
3.9.5.1,26365.5
3.9.5.2,28398.0
3.9.5.3,39091.0
3.9.5.4,11531.0
3.9.5.5,12296.0
3.9.5.6,13186.5
3.9.6.1,26365.5
3.9.6.2,28398.0
3.9.6.3,39091.0
3.9.6.4,11531.0
3.9.6.5,12296.0
3.9.6.6,13186.5
3.9.6.7,11531.0
3.9.6.8,12296.0
3.9.6.9,13186.5
3.9.7.1,61544.0
3.9.7.2,61544.0
3.9.7.3,129215.0
3.9.7.4,129215.0
3.9.7.5,129215.0
3.9.7.6,201875.0
3.9.8.1,24614.0
3.9.8.2,26365.5
3.9.8.3,28398.0
3.9.8.4.1,184590.0
3.9.8.4.2,184590.0
3.9.8.5,10564.5
3.9.8.6,11531.0
3.9.8.7,12296.0
3.9.8.8,13186.5
3.9.8.9,13186.5
3.9.9.1,129215.0
3.9.9.10,36910.0
3.9.9.11,56012.0
3.9.9.12,26365.5
3.9.9.13,28398.0
3.9.9.2,45765.0
3.9.9.3,32300.0
3.9.9.4,129215.0
3.9.9.6,32300.0
3.9.9.7,40375.0
3.9.9.8,21540.0
3.9.9.9,32300.0
4.1.1.11,196104.59492369497
4.1.1.13,205729.33232931735
4.1.1.15,289374.05607148586
4.1.1.17,391337.50253012043
4.1.1.19,3705.4181927710747
4.1.1.21,5005.888716078592
4.1.1.23,14549.38826955322
4.1.1.25,6469.224745381516
4.1.1.27,12958.44949076306
4.1.1.3,11027.002228000001
4.1.1.5,14747.214195200002
4.1.1.7,18005.927593855413
4.1.1.9,27287.41373493975
4.1.10.1,264.0
4.1.10.2,44.0
4.1.10.3,120.0
4.1.10.4,29.6
4.1.10.5,29.6
4.1.11.1,1039.0
4.1.11.10,29.6
4.1.11.2,855.0
4.1.11.3,855.0
4.1.11.4,804.6
4.1.11.5,804.6
4.1.11.6,1039.0
4.1.11.7,80.0
4.1.11.8,80.0
4.1.11.9,29.6
4.1.12.1,61.00000000000001
4.1.12.2,80.0
4.1.12.3,155.0
4.1.13.1,836.0
4.1.13.2,855.0
4.1.13.3,930.0
4.1.13.4,61.00000000000001
4.1.13.5,80.0
4.1.13.6,155.0
4.1.2.1.1,3961.875
4.1.2.1.10,3961.875
4.1.2.1.11,3961.875
4.1.2.1.12,3961.875
4.1.2.1.13,3961.875
4.1.2.1.14,3961.875
4.1.2.1.15,3961.875
4.1.2.1.16,3961.875
4.1.2.1.17,3961.875
4.1.2.1.2,3961.875
4.1.2.1.3,3961.875
4.1.2.1.4,3961.875
4.1.2.1.5,3961.875
4.1.2.1.6,3961.875
4.1.2.1.7,3961.875
4.1.2.1.8,3961.875
4.1.2.1.9,3961.875
4.1.2.2.1,5530.625
4.1.2.2.10,5530.625
4.1.2.2.11,5530.625
4.1.2.2.12,5530.625
4.1.2.2.13,5530.625
4.1.2.2.2,5530.625
4.1.2.2.3,5530.625
4.1.2.2.4,5530.625
4.1.2.2.5,5530.625
4.1.2.2.6,5530.625
4.1.2.2.7,5530.625
4.1.2.2.8,5530.625
4.1.2.2.9,5530.625
4.1.2.3.1,14953.75
4.1.2.3.10,14953.75
4.1.2.3.11,14953.75
